报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,10736.454,5911.313,9301.753,4896.942,7774.156,4581.274,9233.191,5440.369
除税前盈利/(亏损),66.696,46.525,86.118,54.843,-653.049,2.29,-8.572,102.069
税项,-19.065,-10.432,-18.526,-23.751,-12.483,-27.477,-51.807,-53.503
除税后盈利/(亏损),47.631,36.093,67.592,31.092,-665.532,-25.187,-60.379,48.566
少数股东权益,17.839,7.612,10.556,0.853,24.941,4.082,20.66,7.535
股东应占盈利/(亏损),29.792,28.481,57.036,30.239,-690.473,-29.269,-81.039,41.031
股息,,,,,,,,
除税及股息后盈利/(亏损),29.792,28.481,57.036,30.239,-690.473,-29.269,-81.039,41.031
基本每股盈利(仙),0.350000,0.340000,0.680000,0.360000,-8.190000,-0.350000,-0.960000,0.490000
摊薄每股盈利(仙),0.350000,0.340000,0.680000,0.360000,-8.190000,-0.350000,-0.960000,0.490000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-9020.154,-4998.486,-7854.874,-4118.469,-6708.438,-3895.936,-7629.877,-4504.648
折旧,-239.848,-91.877,-191.004,-96.099,-175.714,-85.481,-149.396,-67.554
销售及分销费用,-879.656,-461.68,-765.311,-395.201,-843.169,-395.404,-832.184,-460.33
一般及行政费用,-430.292,-252.008,-407.913,-245.91,-417.888,-246.002,-420.024,-243.548
利息费用/融资成本,-153.985,-80.04,-150.19,-76.1,-186.169,-97.12,-262.042,-122.812
毛利,1716.3,912.827,1446.879,778.473,1065.718,685.338,1603.314,935.721
经营盈利,66.696,46.525,86.118,54.843,-653.049,2.29,-8.572,102.069
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
