报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
营业额,315.751,134.113,273.912,126.436,218.82,151.304
除税前盈利/(亏损),63.997,26.983,61.901,29.14,55.863,37.339
税项,-11.73,-5.163,-11.824,-5.689,-9.371,-6.074
除税后盈利/(亏损),52.267,21.82,50.077,23.451,46.492,31.265
少数股东权益,,,0.025,0.025,0.324,0.512
股东应占盈利/(亏损),52.267,21.82,50.052,23.426,46.168,30.753
股息,24,,,,,
除税及股息后盈利/(亏损),28.267,21.82,50.052,23.426,46.168,30.753
基本每股盈利(仙),5.900000,2.820000,6.700000,3.120000,6.200000,4.100000
摊薄每股盈利(仙),5.900000,2.820000,6.700000,3.120000,6.200000,4.100000
每股股息(仙),2.400000,--,--,--,--,--
销售成本,-216.246,-87.069,-183.389,-84.854,-147.753,-100.911
折旧,-2.64,-1.221,-1.563,-0.484,-0.535,-0.519
销售及分销费用,--,--,--,--,--,--
一般及行政费用,-28.893,-13.888,-20.641,-8.623,-14.141,-13.274
利息费用/融资成本,-0.538,-0.169,-0.559,-0.171,-0.466,-0.324
毛利,99.505,47.044,90.523,41.582,71.067,50.393
经营盈利,63.997,26.983,61.901,29.14,55.863,37.339
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
