报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,5137.652,3298.634,2244.731,2563.674
除税前盈利/(亏损),738.847,346.037,32.896,140.001
税项,-191.011,-79.205,-8.739,-34.741
除税后盈利/(亏损),547.836,266.832,24.157,105.26
少数股东权益,15.506,0.893,0.526,0.87
股东应占盈利/(亏损),532.33,265.939,23.631,104.39
股息,149.91788,,48,
除税及股息后盈利/(亏损),382.41212,265.939,-24.369,104.39
基本每股盈利(仙),124.000000,66.000000,7.000000,38.000000
摊薄每股盈利(仙),--,--,--,--
每股股息(仙),28.000000,--,--,--
销售成本,-4232.808,-2863.413,-2119.342,-2385.867
折旧,-83.944,-76.032,-70.705,-62.682
销售及分销费用,-35.111,-30.795,-18.222,-12.931
一般及行政费用,-65.419,-43.912,-36.912,-33.068
利息费用/融资成本,-50.799,-47.729,-53.006,-73.842
毛利,904.844,435.221,125.389,177.807
经营盈利,738.847,346.037,32.896,140.001
应占联营公司盈利,-0.077,1.374,-0.888,1.935
币种,人民币,人民币,人民币,人民币
