报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,39.144,208.983,53.118,210.481,192.448
除税前盈利/(亏损),2.275,8.637,4.008,9.631,13.649
税项,-0.636,-4.798,-1.142,-3.374,-3.547
除税后盈利/(亏损),1.639,3.839,2.866,6.257,10.102
少数股东权益,,,,,
股东应占盈利/(亏损),1.639,3.839,2.866,6.257,10.102
股息,,,,,
除税及股息后盈利/(亏损),1.639,3.839,2.866,6.257,10.102
基本每股盈利(仙),0.300000,0.910000,0.680000,,
摊薄每股盈利(仙),0.300000,0.910000,0.680000,--,--
每股股息(仙),--,--,--,--,--
销售成本,-17.256,-91.063,-23.988,-94.478,-79.832
折旧,-0.2,-0.711,-0.263,-2.194,-2.294
销售及分销费用,-14.685,-75.699,-18.593,-83.878,-79.939
一般及行政费用,-5.999,-22.548,-5.07,-22.13,-19.991
利息费用/融资成本,-0.081,-0.755,-0.209,-0.689,-0.905
毛利,21.888,117.92,29.13,116.003,112.616
经营盈利,2.275,8.637,4.008,9.631,13.649
应占联营公司盈利,--,--,--,--,-0.751
币种,人民币,人民币,人民币,人民币,人民币
