报告期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31
报表类型,中报,年报,年报,年报,年报
非流动资产,2118.32,1966.937,989.735,751.158,202.137
流动资产,3077.639,3058.423,1766.482,845.248,478.21
流动负债,2115.179,1708.875,1594.506,1124.61,562.83
净流动资产/(负债),962.46,1349.548,171.976,-279.362,-84.62
非流动负债,763.397,1054.235,622.216,241.969,6.591
少数股东权益 - (借)/贷,,,,,
净资产/(负债),2317.383,2262.25,539.495,229.827,110.926
已发行股本,256,256,,,
储备,2061.383,2006.25,539.495,229.827,110.926
股东权益/(亏损),2317.383,2262.25,539.495,229.827,110.926
无形资产(非流动资产),--,--,--,--,--
物业、厂房及设备(非流动资产),2066.739,1949.933,930.564,626.362,121.622
附属公司权益(非流动资产),--,--,--,--,--
联营公司权益 (非流动资产),,,,,
其他投资(非流动资产),,,,,
应收账款(流动资产),855.767,710.281,717.963,268.826,181.64
存货(流动资产),418.208,545.81,563.016,298.074,221.811
现金及银行结存(流动资产),1430.402,1392.009,286.874,93.243,27.438
应付帐款(流动负债),467.238,408.398,739.936,279.561,200.047
银行贷款(流动负债),704.123,716.577,555.652,417.804,302.778
非流动银行贷款,44,58.427,146.634,117.255,--
总资产,5195.959,5025.36,2756.217,1596.406,680.347
总负债,2878.576,2763.11,2216.722,1366.579,569.421
股份数目(香港),2560000000股,2560000000股,--,--,--
币种,港币,港币,港币,港币,港币
