报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31
报表类型,年报,中报,年报,中报,年报
利息收入,21250.182,9521.325,17005.081,8057.092,15493.343
利息支出,-9048.914,-3907.683,-5801.754,-2603.398,-4945.237
净利息收入,12201.268,5613.642,11203.327,5453.694,10548.106
其他经营收入,223.909,59.669,223.068,56.587,224.925
经营收入,12815.462,5875.881,11803.738,5506.74,11050.29
经营支出,-5759.025,-2359.22,-5136.375,-2180.119,-5120.347
总准备,-2028.081,-1278.546,-2246.755,-1343.885,-1887.122
其他盈利/(亏损),0,0,0,0,0
除税前盈利/(亏损),5028.356,2238.115,4420.608,1982.736,4042.821
税项,-1122.678,-490.468,-1060.524,-482.051,-1030.39
除税后盈利/(亏损),3905.678,1747.647,3360.084,1500.685,3012.431
少数股东权益,66.975,29.095,1.013,-27.712,21.031
股东应占盈利/(亏损),3838.703,1718.552,3359.071,1528.397,2991.4
股息,1425,,,,914.38
除税及股息后盈利/(亏损),2413.703,1718.552,3359.071,1528.397,2077.02
基本每股营利(仙),21.000000,10.000000,20.000000,9.000000,19.000000
摊薄每股盈利(仙),21.000000,10.000000,20.000000,9.000000,19.000000
币种,人民币,人民币,人民币,人民币,人民币
