报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
营业额,91.127,266.167,172.055,210.046,64.075,139.367,83.947
除税前盈利/(亏损),9.649,27.145,17.354,34.599,13.798,30.743,11.446
税项,-1.751,-7.399,-4.515,-6.175,-2.269,-5.072,-1.793
除税后盈利/(亏损),7.898,19.746,12.839,28.424,11.529,25.671,9.653
少数股东权益,,,,,,,
股东应占盈利/(亏损),7.898,19.746,12.839,28.424,11.529,25.671,9.653
股息,,,,20,,,
除税及股息后盈利/(亏损),7.898,19.746,12.839,8.424,11.529,25.671,9.653
基本每股盈利(仙),1.030000,0.290000,2.140000,,1.920000,,
摊薄每股盈利(仙),1.030000,0.290000,2.140000,--,1.920000,--,--
每股股息(仙),--,--,--,--,--,--,--
销售成本,-76.003,-216.346,-141.074,-167.546,-48.125,-104.131,-69.014
折旧,-7.966,-11.178,-4.872,-7.545,-3.102,-4.363,-3.466
销售及分销费用,--,--,--,--,--,--,--
一般及行政费用,-5.99,-22.739,-13.614,-8.041,-2.245,-4.163,-3.308
利息费用/融资成本,-0.176,-0.356,-0.151,-0.375,-0.205,-0.389,-0.179
毛利,15.124,49.821,30.981,42.5,15.95,35.236,14.933
经营盈利,9.649,27.145,17.354,34.599,13.798,30.743,11.446
应占联营公司盈利,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币
