报告期,2017-03-31,2016-03-31,2015-03-31
报表类型,年报,年报,年报
非流动资产,7.272,7.268,6.297
流动资产,137.504,94.589,103.404
流动负债,90.366,75.294,87.33
净流动资产/(负债),47.138,19.295,16.074
非流动负债,0.118,0.564,0.316
少数股东权益 - (借)/贷,,,
净资产/(负债),54.292,25.999,22.055
已发行股本,,5.024,5
储备,54.292,20.975,17.055
股东权益/(亏损),54.292,25.999,22.055
无形资产(非流动资产),--,--,--
物业、厂房及设备(非流动资产),2.221,2.409,1.623
附属公司权益(非流动资产),--,--,--
联营公司权益 (非流动资产),,,
其他投资(非流动资产),,,
应收账款(流动资产),33.634,37.808,46.865
存货(流动资产),6.19,5.219,2.811
现金及银行结存(流动资产),7.32,3.437,2.505
应付帐款(流动负债),24.573,16.093,23.731
银行贷款(流动负债),40.879,43.617,37.651
非流动银行贷款,--,--,--
总资产,144.776,101.857,109.701
总负债,90.484,75.858,87.646
股份数目(香港),--,--,--
币种,港币,港币,港币
