报告期,2018-02-28,2017-08-31,2017-02-28,2016-08-31,2016-02-29,2015-08-31,2014-08-31
报表类型,中报,年报,中报,年报,中报,年报,年报
营业额,591.995,979.14,498.142,700.741,354.283,568.715,450.913
除税前盈利/(亏损),158.297,270.307,147.81,194.535,105.037,212.342,112.269
税项,-12.677,-70.112,-40.53,-40.172,-19.417,-30.045,-21.36
除税后盈利/(亏损),145.62,200.195,107.28,154.363,85.62,182.297,90.909
少数股东权益,0.603,-0.038,-0.024,-0.004,-0.004,-0.008,-0.008
股东应占盈利/(亏损),145.017,200.233,107.304,154.367,85.624,182.305,90.917
股息,65.375,101.958,48.94,,,,
除税及股息后盈利/(亏损),79.642,98.275,58.364,154.367,85.624,182.305,90.917
基本每股盈利(仙),7.000000,11.000000,7.000000,10.000000,6.000000,12.000000,6.000000
摊薄每股盈利(仙),7.000000,11.000000,7.000000,--,6.000000,--,--
每股股息(仙),3.200000,5.000000,2.400000,--,--,--,--
销售成本,-330.21,-529.289,-267.281,-370.352,-188.099,-289.194,-239.717
折旧,-33.208,-65.645,-26.71,-49.413,-22.496,-41.037,-29.308
销售及分销费用,-18.329,-17.063,-13.212,-13.271,-7.323,-7.513,-6.289
一般及行政费用,-97.828,-125.765,-63.343,-93.945,-46.255,-76.114,-72.15
利息费用/融资成本,-10.646,-18.216,-6.372,-69.64,-44.985,-106.75,-73.987
毛利,261.785,449.851,230.861,330.389,166.184,279.521,211.196
经营盈利,158.297,270.307,147.81,194.535,105.037,212.342,112.269
应占联营公司盈利,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
