报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,70.384,53.367,68.436
除税前盈利/(亏损),8.659,16.941,26.608
税项,-7.545,-5.656,-8.25
除税后盈利/(亏损),1.114,11.285,18.358
少数股东权益,,,
股东应占盈利/(亏损),1.114,11.285,18.358
股息,,,
除税及股息后盈利/(亏损),1.114,11.285,18.358
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-36.294,-25.703,-28.871
折旧,-10.461,-11.302,-11.816
销售及分销费用,-3.456,-1.26,-1.348
一般及行政费用,-23.227,-9.719,-10.049
利息费用/融资成本,-0.572,-0.623,-1.228
毛利,34.09,27.664,39.565
经营盈利,8.659,16.941,26.608
应占联营公司盈利,--,--,--
币种,人民币,人民币,人民币
