报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-09-30,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
营业额,2775.986,5005.309,2952.607,3995.09,1857.064,5109.78,2895.023,4066.494
除税前盈利/(亏损),1352.712,1566.639,921.177,979.309,322.699,1328.354,538.151,1245.886
税项,-306.234,-433.78,-233,-221.347,-48.325,-330.406,-116.811,-219.851
除税后盈利/(亏损),1046.478,1132.859,688.177,757.962,274.374,997.948,421.34,1026.035
少数股东权益,13.683,15.171,6.75,23.535,11.132,41.409,20.748,111.978
股东应占盈利/(亏损),1032.795,1117.688,681.427,734.427,263.242,956.539,400.592,914.057
股息,,413.383,,341.574,,326.294,,277.849
除税及股息后盈利/(亏损),1032.795,704.305,681.427,392.853,263.242,630.245,400.592,636.208
基本每股盈利(仙),46.000000,51.000000,32.000000,37.000000,13.700000,51.000000,21.600000,51.000000
摊薄每股盈利(仙),46.000000,51.000000,32.000000,36.000000,13.700000,51.000000,21.400000,51.000000
每股股息(仙),4.000000,18.500000,3.500000,16.000000,3.000000,16.000000,3.000000,15.000000
销售成本,-1209.68,-2709.013,-1696.6,-1989.973,-1078.018,-2884.377,-1897.075,-2298.312
折旧,-166.068,-313.46,-147.572,-305.048,-158.393,-283.453,-135.293,-221.045
销售及分销费用,-86.034,-46.435,-16.113,-105.385,-54.218,-92.661,-51.908,-69.714
一般及行政费用,-310.023,-584.293,-307.292,-598.208,-290.229,-641.997,-346.17,-538.427
利息费用/融资成本,-146.821,-173.235,-105.483,-228.334,-114.798,-224.042,-102.396,-281.4
毛利,1405.304,1989.595,1108.565,1706.333,628.568,1946.418,865.478,1552.972
经营盈利,1352.712,1566.639,921.177,979.309,322.699,1328.354,538.151,1245.886
应占联营公司盈利,-1.262,-4.52,3.935,4.546,7.532,16.746,3.54,6.36
币种,港币,港币,港币,港币,港币,港币,港币,港币
