报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,650.461,328.795,619.203,297.221,611.534,298.933,553.845,266.327
除税前盈利/(亏损),84.174,53.083,57.86,20.655,39.585,17.911,26.091,10.627
税项,-9.386,-8.717,-7.297,-5.478,-5.562,-4.313,-4.362,-2.549
除税后盈利/(亏损),74.788,44.366,50.563,15.177,34.023,13.598,21.729,8.078
少数股东权益,-0.157,-0.102,-0.009,,,,,
股东应占盈利/(亏损),74.945,44.468,50.572,15.177,34.023,13.598,21.729,8.078
股息,,,,,,,,
除税及股息后盈利/(亏损),74.945,44.468,50.572,15.177,34.023,13.598,21.729,8.078
基本每股盈利(仙),5.620000,3.340000,3.790000,1.140000,2.550000,1.020000,0.163000,0.061000
摊薄每股盈利(仙),5.620000,3.340000,3.790000,1.140000,2.550000,1.020000,0.163000,0.061000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-441.328,-219.24,-434.588,-212.511,-445.801,-222.952,-416.116,-199.29
折旧,-3.408,-1.641,-2.697,-1.306,-2.178,-1.033,-1.409,-0.72
销售及分销费用,-23.542,-11.321,-20.833,-9.383,-23.226,-11.322,-19.032,-9.287
一般及行政费用,-112.18,-50.62,-105.172,-54.66,-100.971,-46.918,-90.426,-44.553
利息费用/融资成本,-2.219,-1.226,-1.876,-0.965,-1.326,-0.733,-1.586,-0.958
毛利,209.133,109.555,184.615,84.71,165.733,75.981,137.729,67.037
经营盈利,76.034,49.263,54.497,20.66,39.629,17.923,26.41,11.01
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
