报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,47.551,166.36,32.073,106.345,90.059
除税前盈利/(亏损),5.098,-1.622,1.46,20.89,19.005
税项,-1.486,-5.023,-1.538,-5.563,-6.112
除税后盈利/(亏损),3.612,-6.645,-0.078,15.327,12.893
少数股东权益,,,,,
股东应占盈利/(亏损),3.612,-6.645,-0.078,15.327,12.893
股息,,,,11.876,
除税及股息后盈利/(亏损),3.612,-6.645,-0.078,3.451,12.893
基本每股盈利(仙),0.900000,-2.120000,-0.030000,,
摊薄每股盈利(仙),0.900000,-2.120000,-0.030000,--,--
每股股息(仙),--,--,--,--,--
销售成本,--,--,--,--,--
折旧,-0.319,-0.754,-0.107,-0.393,-0.404
销售及分销费用,-10.37,-42.233,-1.52,-6.776,-2.795
一般及行政费用,-2.706,-9.743,-1.898,-5.173,-4.852
利息费用/融资成本,--,--,--,--,--
毛利,47.551,166.36,32.073,106.345,90.059
经营盈利,5.098,-1.622,1.46,20.89,19.005
应占联营公司盈利,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币
