报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,2420.206,1337.923,1026.181
除税前盈利/(亏损),-944.464,-621.043,-298.972
税项,-58.669,55.993,-4.171
除税后盈利/(亏损),-1003.133,-565.05,-303.143
少数股东权益,,,
股东应占盈利/(亏损),-1003.133,-565.05,-303.143
股息,,,
除税及股息后盈利/(亏损),-1003.133,-565.05,-303.143
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,--,--,--
折旧,-24.335,-20.219,-15.551
销售及分销费用,-68.963,-61.821,-18.964
一般及行政费用,-181.747,-163.36,-101.763
利息费用/融资成本,--,--,--
毛利,2420.206,1337.923,1026.181
经营盈利,347.4,-349.783,-152.382
应占联营公司盈利,-6.368,-0.748,--
币种,人民币,人民币,人民币
