报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31
报表类型,中报,年报,中报,年报,年报
营业额,89.649,103.893,34.361,56.934,29.132
除税前盈利/(亏损),14.287,38.28,4.448,31.849,12.414
税项,-4.381,-8.835,-1.967,-6.973,-2.697
除税后盈利/(亏损),9.906,29.445,2.481,24.876,9.717
少数股东权益,,,,,
股东应占盈利/(亏损),9.906,29.445,2.481,24.876,9.717
股息,,,,,
除税及股息后盈利/(亏损),9.906,29.445,2.481,24.876,9.717
基本每股盈利(仙),3.300000,9.820000,0.830000,8.290000,3.240000
摊薄每股盈利(仙),--,--,--,--,--
每股股息(仙),--,--,--,--,--
销售成本,-59.319,-50.313,-20.08,-22.697,-12.674
折旧,-0.45,-0.937,-0.483,-1.132,-1.267
销售及分销费用,-0.582,-1.055,-0.495,-0.858,-0.737
一般及行政费用,-5.456,-7.826,-3.962,-6.23,-6.988
利息费用/融资成本,-1.163,-2.77,-1.614,-4.892,-5.46
毛利,30.33,53.58,14.281,34.237,16.458
经营盈利,14.287,38.28,4.448,31.849,12.414
应占联营公司盈利,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币
