报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,337.958,303.262,281.646,250.114
除税前盈利/(亏损),174.041,174.982,151.019,140.542
税项,-2.083,-2.434,-1.048,-7.365
除税后盈利/(亏损),171.958,172.548,149.971,133.177
少数股东权益,,,,
股东应占盈利/(亏损),171.958,172.548,149.971,133.177
股息,,,,
除税及股息后盈利/(亏损),171.958,172.548,149.971,133.177
基本每股盈利(仙),14.330000,,,
摊薄每股盈利(仙),14.330000,--,--,--
每股股息(仙),--,--,--,--
销售成本,-145.481,-124.032,-123.851,-111.423
折旧,-48.027,-41.167,-34.456,-28.475
销售及分销费用,-5.375,-5.677,-4.729,-3.736
一般及行政费用,-66.857,-42.942,-41.734,-35.112
利息费用/融资成本,--,--,--,--
毛利,192.477,179.23,157.795,138.691
经营盈利,174.041,174.982,151.019,140.542
应占联营公司盈利,--,--,--,--
币种,人民币,人民币,人民币,人民币
