报告期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31
报表类型,中报,年报,年报,年报,年报
非流动资产,660.838,527.6,462.936,443.623,368.351
流动资产,1090.752,1052.192,428.174,931.338,525.918
流动负债,730.494,578.209,621.689,750.573,519.258
净流动资产/(负债),360.258,473.983,-193.515,180.765,6.66
非流动负债,50.905,50.828,61.572,56.034,26.205
少数股东权益 - (借)/贷,51.843,3.454,0.689,11.036,81.908
净资产/(负债),970.191,950.755,207.849,568.354,348.806
已发行股本,1.066,1.066,,,
储备,917.282,946.235,207.16,557.318,266.898
股东权益/(亏损),918.348,947.301,207.16,557.318,266.898
无形资产(非流动资产),17.619,8.388,5.05,0.679,0.542
物业、厂房及设备(非流动资产),481.375,393.223,384.486,371.872,325.464
附属公司权益(非流动资产),--,--,--,--,--
联营公司权益 (非流动资产),,,,,
其他投资(非流动资产),,,,,
应收账款(流动资产),188.515,139.84,138.514,96.956,96.623
存货(流动资产),21.78,19.131,19.686,21.243,14.821
现金及银行结存(流动资产),622.972,881.028,233.658,346.401,89.073
应付帐款(流动负债),96.404,89.064,91.622,72.241,59.85
银行贷款(流动负债),427.9,309.932,240.057,328.719,286.554
非流动银行贷款,--,4.633,33.065,38.21,16.554
总资产,1751.59,1579.792,891.11,1374.961,894.269
总负债,781.399,629.037,683.261,806.607,545.463
股份数目(香港),1592079000股,1592079000股,--,--,--
币种,人民币,人民币,人民币,人民币,人民币
