报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
营业额,101.456,189.83,102.631,200.915,104.794,210.078,181.322
除税前盈利/(亏损),4.161,-6.146,-1.567,28.743,18.135,22.416,19.048
税项,-0.596,-1.782,-2.065,-4.838,-3.072,-3.611,-3.067
除税后盈利/(亏损),3.565,-7.928,-3.632,23.905,15.063,18.805,15.981
少数股东权益,,,,,,,
股东应占盈利/(亏损),3.565,-7.928,-3.632,23.905,15.063,18.805,15.981
股息,,,,29.714,,10,7
除税及股息后盈利/(亏损),3.565,-7.928,-3.632,-5.809,15.063,8.805,8.981
基本每股盈利(仙),1.780000,-4.750000,,,,,
摊薄每股盈利(仙),1.780000,-4.750000,--,--,--,--,--
每股股息(仙),--,--,--,--,--,--,--
销售成本,-24.22,-44.066,-23.713,-47.427,-25.157,-55.072,-47.494
折旧,-4.269,-7.548,-4.099,-8.391,-4.23,-9.546,-8.106
销售及分销费用,-0.359,-0.481,-0.24,-0.501,-0.259,-0.573,-0.482
一般及行政费用,--,--,--,--,--,--,--
利息费用/融资成本,--,-0.032,-0.032,-0.084,-0.04,-0.082,-0.117
毛利,77.236,145.764,78.918,153.488,79.637,155.006,133.828
经营盈利,4.161,-6.146,-1.567,28.743,18.135,22.416,19.048
应占联营公司盈利,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币
