报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
营业额,36.743,236.732,157.033,91.011,39.311,241.389,179.251,111.633
除税前盈利/(亏损),-4.835,-8.824,-5.873,-6.062,-4.371,-13.009,-7.339,-8.496
税项,,-0.185,-0.03,,,-0.662,-1.018,-0.521
除税后盈利/(亏损),-4.835,-9.009,-5.903,-6.062,-4.371,-13.671,-8.357,-9.017
少数股东权益,,,,,,,,
股东应占盈利/(亏损),-4.835,-9.009,-5.903,-6.062,-4.371,-13.671,-8.357,-9.017
股息,,,,,,,,
除税及股息后盈利/(亏损),-4.835,-9.009,-5.903,-6.062,-4.371,-13.671,-8.357,-9.017
基本每股盈利(仙),-1.010000,-1.880000,-1.230000,-1.260000,-0.910000,-3.170000,-2.020000,-2.370000
摊薄每股盈利(仙),--,--,--,--,--,--,--,--
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-33.274,-211.26,-140.671,-81.994,-36.279,-216.804,-160.115,-99.815
折旧,-0.438,-1.232,-0.826,-0.524,-0.267,-1.003,-0.723,-0.478
销售及分销费用,-2.712,-11.025,-8.271,-5.655,-2.473,-10.237,-6.751,-4.276
一般及行政费用,-5.506,-21.071,-12.997,-8.784,-4.228,-19.177,-12.431,-7.652
利息费用/融资成本,-0.281,-1.018,-0.754,-0.501,-0.297,-0.925,-0.638,-0.428
毛利,3.469,25.472,16.362,9.017,3.032,24.585,19.136,11.818
经营盈利,-4.835,-8.824,-5.873,-6.062,-4.371,-13.009,-7.339,-8.496
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
