报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,8.07132,35.841693,7.611645,40.560338,49.335527
除税前盈利/(亏损),-0.321529,-0.864231,-0.315888,1.852665,1.685108
税项,0.019937,-0.321309,0.095599,-0.467252,-0.338458
除税后盈利/(亏损),-0.301592,-1.18554,-0.220289,1.385413,1.34665
少数股东权益,-0.003121,-0.017035,-0.010576,-0.017629,
股东应占盈利/(亏损),-0.298471,-1.168505,-0.209713,1.403042,1.34665
股息,,,,,
除税及股息后盈利/(亏损),-0.298471,-1.168505,-0.209713,1.403042,1.34665
基本每股盈利(仙),-0.080000,-39.000000,-0.070000,,
摊薄每股盈利(仙),-0.080000,-39.000000,-0.070000,--,--
每股股息(仙),--,--,--,--,--
销售成本,-5.900214,-25.581704,-5.455048,-29.041082,-36.554253
折旧,--,-0.067711,--,-0.133752,-0.205914
销售及分销费用,-0.903688,-3.245235,-0.775987,-3.240554,-3.960635
一般及行政费用,-1.765716,-7.496217,-1.648716,-6.422833,-6.827031
利息费用/融资成本,-0.097543,-0.412679,-0.085327,-0.323736,-0.336975
毛利,2.171106,10.259989,2.156597,11.519256,12.781274
经营盈利,-0.224696,-0.453024,-0.230821,2.175334,2.021339
应占联营公司盈利,--,--,--,--,--
币种,欧元,欧元,欧元,欧元,欧元
