报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
营业额,1618.829,654.04,989.029,410.13,557.042,331.85
除税前盈利/(亏损),303.687,116.193,175.846,97.772,65.402,49.012
税项,-51.059,-23.996,-34.75,-13.917,-20.893,-7.034
除税后盈利/(亏损),252.628,92.197,141.096,83.855,44.509,41.978
少数股东权益,,,,,,
股东应占盈利/(亏损),252.628,92.197,141.096,83.855,44.509,41.978
股息,,,,,,
除税及股息后盈利/(亏损),252.628,92.197,141.096,83.855,44.509,41.978
基本每股盈利(仙),24.000000,9.000000,15.000000,9.000000,5.000000,4.000000
摊薄每股盈利(仙),22.000000,9.000000,15.000000,9.000000,5.000000,4.000000
每股股息(仙),--,--,--,--,--,--
销售成本,-958.272,-389.771,-599.919,-223.504,-376.321,-208.596
折旧,-122.748,-58.81,-93.185,-41.085,-57.006,-42.309
销售及分销费用,-27.622,-13.286,-15.326,-6.642,-13.447,-4.303
一般及行政费用,-134.019,-51.132,-94.606,-39.833,-72.22,-43.862
利息费用/融资成本,-35.691,-31.261,-24.155,-8.093,-2.531,-2.556
毛利,660.557,264.269,389.11,186.626,180.721,123.254
经营盈利,303.687,116.193,175.846,97.772,65.402,49.012
应占联营公司盈利,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币
