报告期,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
报表类型,三季报,中报,一季报,年报,三季报,中报,一季报,年报
营业额,39.999,27.322,13.774,44.867,31.695,21.33,11.466,45.017
除税前盈利/(亏损),11.581,6.465,3.326,5.612,2.002,1.411,1.521,12.002
税项,-1.737,-1.111,-0.382,-2.8,-2.024,-1.433,-0.693,-2.44
除税后盈利/(亏损),9.844,5.354,2.944,2.812,-0.022,-0.022,0.828,9.562
少数股东权益,,,,,,,,
股东应占盈利/(亏损),9.844,5.354,2.944,2.812,-0.022,-0.022,0.828,9.562
股息,,,,,,,,
除税及股息后盈利/(亏损),9.844,5.354,2.944,2.812,-0.022,-0.022,0.828,9.562
基本每股盈利(仙),2.460000,1.340000,0.740000,0.920000,-0.010000,-0.010000,0.280000,
摊薄每股盈利(仙),2.460000,1.340000,0.740000,0.920000,-0.010000,-0.010000,0.280000,--
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-21.342,-15.68,-7.667,-20.333,-15.07,-10.093,-5.07,-23.952
折旧,-2.905,-1.731,-0.851,-2.842,-1.889,-1.213,-0.596,-2.402
销售及分销费用,--,--,--,--,--,--,--,--
一般及行政费用,-7.756,-5.314,-2.862,-7.782,-4.897,-3.463,-1.478,-5.874
利息费用/融资成本,-0.395,-0.303,-0.198,-0.668,-0.467,-0.255,-0.107,-0.19
毛利,18.657,11.642,6.107,24.534,16.625,11.237,6.396,21.065
经营盈利,11.581,6.465,3.326,5.612,2.002,1.411,1.521,12.002
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
