报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
营业额,359.359,603.839,237.158,481.943,287.66,318.287
除税前盈利/(亏损),31.203,78.38,27.804,61.998,40.087,47.119
税项,-5.427,-14.597,-5.629,-12.207,-5.817,-7.953
除税后盈利/(亏损),25.776,63.783,22.175,49.791,34.27,39.166
少数股东权益,,,,,,
股东应占盈利/(亏损),25.776,63.783,22.175,49.791,34.27,39.166
股息,,128,,,,
除税及股息后盈利/(亏损),25.776,-64.217,22.175,49.791,34.27,39.166
基本每股盈利(仙),2.150000,6.290000,2.250000,5.060000,3.480000,3.980000
摊薄每股盈利(仙),2.150000,6.290000,2.250000,5.060000,3.480000,3.980000
每股股息(仙),--,--,--,--,--,--
销售成本,-304.157,-487.301,-194.085,-389.711,-231.644,-257.586
折旧,-1.413,-2.257,-1.156,-1.697,-2.069,-3.56
销售及分销费用,--,--,--,--,--,--
一般及行政费用,-24.871,-41.496,-19.764,-33.126,-25.622,-17.397
利息费用/融资成本,-1.207,-2.895,-1.546,-2.134,-1.108,-1.545
毛利,55.202,116.538,43.073,92.232,56.016,60.701
经营盈利,31.203,78.38,27.804,61.998,40.087,47.119
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
