报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,624.084,235.554,768.171,370.638,706.922,348.462,606.801,288.114
除税前盈利/(亏损),94.2,24.501,175.301,123.854,202.423,112.139,156.838,70.977
税项,-32.82,-4.167,-72.389,-31.586,-47.805,-22.107,-35.128,-17.731
除税后盈利/(亏损),61.38,20.334,102.912,92.268,154.618,90.032,121.71,53.246
少数股东权益,,,,,,,-0.183,-0.058
股东应占盈利/(亏损),61.38,20.334,102.912,92.268,154.618,90.032,121.893,53.304
股息,75.153,,78.996,,37.66,,167.289,
除税及股息后盈利/(亏损),-13.773,20.334,23.916,92.268,116.958,90.032,-45.396,53.304
基本每股盈利(仙),8.300000,3.000000,13.770000,12.000000,24.210000,25.000000,,
摊薄每股盈利(仙),8.300000,3.000000,13.770000,12.000000,24.210000,25.000000,--,--
每股股息(仙),12.000000,--,12.000000,--,6.000000,--,--,--
销售成本,-188.495,-69.187,-213.231,-112.257,-184.818,-95.75,-176.893,-81.903
折旧,-6.215,-2.766,-5.482,-2.885,-5.218,-3.254,-8.515,-4.355
销售及分销费用,-305.546,-118.806,-319.034,-108.94,-255.375,-105.023,-213.286,-110.435
一般及行政费用,-56.225,-29.575,-69.19,-28.6,-78.364,-34.382,-59.101,-25.867
利息费用/融资成本,-4.766,-2.173,-7.272,-2.59,-10.091,-6.56,-13.538,-6.258
毛利,435.589,166.367,554.94,258.381,522.104,252.712,429.908,206.211
经营盈利,94.2,24.501,175.301,123.854,202.423,112.139,156.838,70.977
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
