报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
营业额,1858.955,915.064,1457.523,730.856,1859.3,1383.882
除税前盈利/(亏损),71.431,49.77,36.914,31.587,208.462,119.135
税项,-24.548,-15.837,-18.104,-9.94,-100.367,-29.95
除税后盈利/(亏损),46.883,33.933,18.81,21.647,108.095,89.185
少数股东权益,,,,,,
股东应占盈利/(亏损),46.883,33.933,18.81,21.647,108.095,89.185
股息,10.36516,,,,171.273,54.72
除税及股息后盈利/(亏损),36.51784,33.933,18.81,21.647,-63.178,34.465
基本每股盈利(仙),8.700000,7.400000,,4.700000,,
摊薄每股盈利(仙),8.700000,7.400000,--,3.900000,--,--
每股股息(仙),2.000000,--,--,--,--,--
销售成本,-1668.744,-801.527,-1307.769,-648.038,-1406.321,-1150.26
折旧,-144.052,-72.098,-143.221,-70.965,-139.699,-97.06
销售及分销费用,-4.078,-1.211,-2.075,-1.056,-25.84,-23.262
一般及行政费用,-67.182,-36.53,-49.264,-23.88,-62.675,-43.093
利息费用/融资成本,-60.77,-32.207,-68.121,-36.763,-82.683,-54.46
毛利,190.211,113.537,149.754,82.818,452.979,233.622
经营盈利,71.431,49.77,29.557,18.463,238.979,119.135
应占联营公司盈利,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币
