报告期,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2016-09-30,2016-03-31,2015-03-31
报表类型,三季报,中报,年报,三季报,中报,年报,年报
营业额,75.878,50.671,91.525,67.62,47.908,74.772,46.1
除税前盈利/(亏损),9.03,6.22,16.582,10.826,5.872,21.86,14.586
税项,-2.879,-2.161,-4.012,-3.015,-2.169,-3.652,-2.395
除税后盈利/(亏损),6.151,4.059,12.57,7.811,3.703,18.208,12.191
少数股东权益,,,0.301,0.301,0.301,,
股东应占盈利/(亏损),6.151,4.059,12.269,7.51,3.402,18.208,12.191
股息,,,,,,,
除税及股息后盈利/(亏损),6.151,4.059,12.269,7.51,3.402,18.208,12.191
基本每股盈利(仙),1.370000,0.900000,2.760000,1.700000,0.780000,4.050000,2.710000
摊薄每股盈利(仙),--,--,--,--,--,--,--
每股股息(仙),--,--,--,--,--,--,--
销售成本,-53.139,-34.661,-61.685,-45.323,-32.246,-49.241,-28.689
折旧,--,--,-0.161,--,--,-0.146,-0.141
销售及分销费用,--,--,--,--,--,--,--
一般及行政费用,-5.462,-3.044,-5.75,-4.314,-2.696,-3.446,-2.665
利息费用/融资成本,-0.053,-0.053,-0.019,--,--,--,--
毛利,22.739,16.01,29.84,22.297,15.662,25.531,17.411
经营盈利,9.03,6.22,16.582,10.826,5.872,21.86,14.586
应占联营公司盈利,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币
