报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,215.411,274.605,292.127,251.778
除税前盈利/(亏损),20.529,45.279,35.594,12.681
税项,-12.004,-10.653,-7.334,-3.517
除税后盈利/(亏损),8.525,34.626,28.26,9.164
少数股东权益,1.09,0.44,2.07,0.694
股东应占盈利/(亏损),7.435,34.186,26.19,8.47
股息,9.801,,,
除税及股息后盈利/(亏损),-2.366,34.186,26.19,8.47
基本每股盈利(仙),3.950000,,,
摊薄每股盈利(仙),3.950000,--,--,--
每股股息(仙),5.000000,--,--,--
销售成本,-135.305,-187.607,-218.22,-207.659
折旧,-11.51,-10.08,-10.264,-7.546
销售及分销费用,--,--,--,--
一般及行政费用,--,--,--,--
利息费用/融资成本,-0.426,-0.583,-0.753,-5.969
毛利,80.106,86.998,73.907,44.119
经营盈利,42.294,45.862,36.347,18.65
应占联营公司盈利,--,--,--,--
币种,人民币,人民币,人民币,人民币
