报告期,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2016-09-30,2016-03-31
报表类型,三季报,中报,年报,三季报,中报,年报
营业额,93.497,66.851,116.563,82.169,53.914,86.604
除税前盈利/(亏损),-5.966,1.581,6.839,4.765,2.476,20.651
税项,-0.333,-0.515,-1.559,-1.359,-0.878,-3.37
除税后盈利/(亏损),-6.299,1.066,5.28,3.406,1.598,17.281
少数股东权益,,,,,,
股东应占盈利/(亏损),-6.299,1.066,5.28,3.406,1.598,17.281
股息,,,,,,
除税及股息后盈利/(亏损),-6.299,1.066,5.28,3.406,1.598,17.281
基本每股盈利(仙),-1.280000,,,0.760000,,
摊薄每股盈利(仙),-1.280000,--,--,0.760000,--,--
每股股息(仙),--,--,--,--,--,--
销售成本,-79.25,-54.908,-96.363,-67.224,-44.967,-62.096
折旧,--,--,-13.902,--,--,-12.594
销售及分销费用,--,--,--,--,--,--
一般及行政费用,-19.893,-10.108,-14.119,-10.035,-6.354,-4.959
利息费用/融资成本,-0.372,-0.256,-0.166,-0.118,-0.09,-0.28
毛利,14.247,11.943,20.2,14.945,8.947,24.508
经营盈利,-5.594,1.837,7.005,4.883,2.566,20.931
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
