报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-09-30.1
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,一季报
营业额,90.247,98.966,49.255,14.628,3.915,9.53,16.295,4.688
除税前盈利/(亏损),0.914,-12.892,-9.67,-5.993,-2.733,-7.535,-9.71,-3.061
税项,-0.5,-0.322,,,,,,
除税后盈利/(亏损),0.414,-13.214,-9.67,-5.993,-2.733,-7.535,-9.71,-3.061
少数股东权益,,-0.004,-0.003,-0.002,-0.001,-0.018,-0.049,-0.014
股东应占盈利/(亏损),0.414,-13.21,-9.667,-5.991,-2.732,-7.517,-9.661,-3.047
股息,,,,,,,,
除税及股息后盈利/(亏损),0.414,-13.21,-9.667,-5.991,-2.732,-7.517,-9.661,-3.047
基本每股盈利(仙),1.770000,-67.000000,-51.700000,-35.790000,-16.320000,-45.000000,-51.660000,-0.360000
摊薄每股盈利(仙),1.770000,-67.000000,-51.700000,-35.790000,-16.320000,--,-51.660000,-0.360000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-83.163,-90.803,-43.82,-10.869,-2.382,-5.736,-10.412,-2.765
折旧,-0.594,-1.242,-0.648,-0.057,-0.031,-0.06,-0.087,-0.027
销售及分销费用,-1.203,-3.107,-2.083,-1.385,-0.684,-1.517,-2.789,-0.924
一般及行政费用,-4.642,-16.579,-11.893,-7.62,-3.218,-8.916,-10.906,-3.313
利息费用/融资成本,--,--,--,--,--,--,--,--
毛利,7.084,8.163,5.435,3.759,1.533,3.794,5.883,1.923
经营盈利,0.914,-12.892,-9.67,-5.993,-2.733,-7.535,-9.71,-3.061
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
