报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,275.813,344.766,391.427,305.262
除税前盈利/(亏损),14.337,26.505,42.919,31.023
税项,-4.82,-6.101,-7.516,-5.078
除税后盈利/(亏损),9.517,20.404,35.403,25.945
少数股东权益,,,,
股东应占盈利/(亏损),9.517,20.404,35.403,25.945
股息,,,,
除税及股息后盈利/(亏损),9.517,20.404,35.403,25.945
基本每股盈利(仙),0.790000,,,
摊薄每股盈利(仙),0.790000,--,--,--
每股股息(仙),--,--,--,--
销售成本,-232.668,-295.21,-331.008,-263.129
折旧,-2.904,-4.365,-4.872,-4.422
销售及分销费用,--,--,--,--
一般及行政费用,-30.592,-25.796,-18.503,-11.705
利息费用/融资成本,-0.354,-0.358,-0.257,-0.447
毛利,43.145,49.556,60.419,42.133
经营盈利,14.337,26.505,42.919,31.023
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
