报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,66.657,55.936,59.386,57.119
除税前盈利/(亏损),38.075,45.958,47.799,54.753
税项,-13.809,-14.444,-13.494,-15.082
除税后盈利/(亏损),24.266,31.514,34.305,39.671
少数股东权益,,,,8.244
股东应占盈利/(亏损),24.266,31.514,34.305,31.427
股息,,,,
除税及股息后盈利/(亏损),24.266,31.514,34.305,31.427
基本每股盈利(仙),7.000000,95.000000,104.000000,95.000000
摊薄每股盈利(仙),7.000000,95.000000,104.000000,95.000000
每股股息(仙),--,--,--,--
销售成本,-16.089,-13.909,-13.277,-12.607
折旧,-0.38,-0.456,-0.502,-0.547
销售及分销费用,-0.83,-0.523,-0.639,-0.571
一般及行政费用,-27.774,-15.305,-10.542,-11.08
利息费用/融资成本,-2.194,-3.123,-7.103,-9.127
毛利,50.568,42.027,46.109,44.512
经营盈利,40.269,49.081,54.902,63.88
应占联营公司盈利,--,--,--,--
币种,人民币,人民币,人民币,人民币
