报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-06-30
报表类型,中报,年报,中报,年报,年报
营业额,151.23,302.987,175.804,291.207,289.413
除税前盈利/(亏损),7.529,47.878,28.937,53.335,21.444
税项,-4.033,-11.097,-5.767,-10.065,-4.628
除税后盈利/(亏损),3.496,36.781,23.17,43.27,16.816
少数股东权益,,,,,
股东应占盈利/(亏损),3.496,36.781,23.17,43.27,16.816
股息,,,,,
除税及股息后盈利/(亏损),3.496,36.781,23.17,43.27,16.816
基本每股盈利(仙),0.900000,,6.440000,,
摊薄每股盈利(仙),0.900000,--,6.440000,--,--
每股股息(仙),--,--,--,--,--
销售成本,-100.755,-191.854,-117.243,-191.1,-220.613
折旧,-4.21,-8.179,-4.136,-9.178,-9.137
销售及分销费用,-2.717,-4.216,-2.453,-4.13,-4.053
一般及行政费用,-27.05,-47.12,-23.775,-44.111,-44.251
利息费用/融资成本,--,--,--,--,--
毛利,50.475,111.133,58.561,100.107,68.8
经营盈利,7.529,47.878,28.937,53.335,21.444
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
