报告期,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2013-06-30.1,2012-12-31
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,382.789,14.627,364.876,279.935,194.531,16.591,39.287,22.696
除税前盈利/(亏损),-63.138,-24.893,-56.841,18.13,37.945,-417.808,-417.654,0.154
税项,-1.968,-0.726,-12.004,-9.552,-10.061,-0.664,-1.942,-1.278
除税后盈利/(亏损),-65.106,-25.619,-68.845,8.578,27.884,-418.472,-419.596,-1.124
少数股东权益,-0.693,-0.03,-0.198,-0.073,-4.061,-6.469,-6.621,-0.152
股东应占盈利/(亏损),-64.413,-25.589,-68.647,8.651,31.945,-412.003,-412.975,-0.972
股息,,,,,,,,
除税及股息后盈利/(亏损),-64.413,-25.589,-68.647,8.651,31.945,-412.003,-412.975,-0.972
基本每股盈利(仙),-1.350000,-0.790000,-2.600000,0.330000,1.430000,-19.000000,-3.810000,-0.010000
摊薄每股盈利(仙),-1.350000,-0.790000,-2.600000,0.330000,1.430000,-19.000000,-3.810000,-0.010000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-355.25,-6.917,-298.893,-217.735,-139.679,-18.829,-34.304,-15.475
折旧,-9.471,-1.847,-2.241,-0.902,-0.348,-0.212,-0.341,-0.129
销售及分销费用,--,--,--,--,--,--,--,--
一般及行政费用,-91.998,-42.97,-109.678,-43.949,-21.262,-18.424,-25.505,-7.081
利息费用/融资成本,-23.597,-9.473,-17.101,-7.224,-0.049,-0.018,-0.029,-0.011
毛利,27.539,7.71,65.983,62.2,54.852,-2.238,4.983,7.221
经营盈利,-36.842,-24.893,-56.841,18.13,37.945,-417.808,-417.654,0.154
应占联营公司盈利,3.728,--,0.419,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
