报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
营业额,39.622,126.675,63.963,141.744,126.62,150.571
除税前盈利/(亏损),5.876,7.897,6.745,42.906,31.691,29.864
税项,-1.46,-5.146,-3.452,-7.654,-5.316,-4.759
除税后盈利/(亏损),4.416,2.751,3.293,35.252,26.375,25.105
少数股东权益,2.259,5.062,2.347,8.278,5.234,6.218
股东应占盈利/(亏损),2.157,-2.311,0.946,26.974,21.141,18.887
股息,,,,7.852,24,12
除税及股息后盈利/(亏损),2.157,-2.311,0.946,19.122,-2.859,6.887
基本每股盈利(仙),0.570000,-0.730000,0.320000,8.990000,7.170000,9.230000
摊薄每股盈利(仙),--,--,--,--,--,--
每股股息(仙),--,--,--,--,--,--
销售成本,-22.19,-68.73,-34.346,-78.523,-72.268,-98.807
折旧,-1.302,-1.288,-1.63,-1.642,-1.447,-0.79
销售及分销费用,-2.193,-4.808,-2.322,-4.031,-3.836,-3.575
一般及行政费用,-11.594,-23.518,-11.122,-20.786,-18.874,-17.653
利息费用/融资成本,-0.298,-0.718,-0.367,-0.419,-0.612,-0.628
毛利,17.432,57.945,29.617,63.221,54.352,51.764
经营盈利,5.876,7.897,6.745,42.906,31.691,29.864
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
