报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,37.57,39.953,45.506,22.206
除税前盈利/(亏损),6.901,13.82,11.769,5.753
税项,-1.506,-2.272,-1.903,-0.984
除税后盈利/(亏损),5.395,11.548,9.866,4.769
少数股东权益,,,,
股东应占盈利/(亏损),5.395,11.548,9.866,4.769
股息,,,,
除税及股息后盈利/(亏损),5.395,11.548,9.866,4.769
基本每股盈利(仙),0.840000,,,
摊薄每股盈利(仙),0.840000,--,--,--
每股股息(仙),--,--,--,--
销售成本,-23.126,-22.302,-29.529,-12.933
折旧,-0.434,-0.334,-0.366,-0.31
销售及分销费用,--,--,--,--
一般及行政费用,-4.46,-4.066,-4.434,-3.58
利息费用/融资成本,-0.031,-0.003,--,--
毛利,14.444,17.651,15.977,9.273
经营盈利,6.901,13.82,11.769,5.753
应占联营公司盈利,--,--,--,--
币种,新加坡元,新加坡元,新加坡元,新加坡元
