报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,311.228,248.659,198.851,156.472
除税前盈利/(亏损),58.486,58.596,48.431,27.963
税项,-18.359,-11.709,-10.074,-5.602
除税后盈利/(亏损),40.127,46.887,38.357,22.361
少数股东权益,,,,
股东应占盈利/(亏损),40.127,46.887,38.357,22.361
股息,,,,
除税及股息后盈利/(亏损),40.127,46.887,38.357,22.361
基本每股盈利(仙),5.220000,,,
摊薄每股盈利(仙),5.150000,--,--,--
每股股息(仙),--,--,--,--
销售成本,-175.797,-153.683,-119.15,-97.429
折旧,-8.401,-12.269,-11.423,-10.852
销售及分销费用,-11.263,-7.874,-4.694,-2.918
一般及行政费用,-67.744,-30.534,-26.454,-27.676
利息费用/融资成本,-0.555,-0.932,-1.189,-0.966
毛利,135.431,94.976,79.701,59.043
经营盈利,59.041,59.528,49.62,28.929
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
