报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,44.441142,45.050836,46.091354,45.09523
除税前盈利/(亏损),3.146884,7.581541,7.413349,4.827738
税项,-0.869111,-0.961752,-1.08935,-0.669753
除税后盈利/(亏损),2.277773,6.619789,6.323999,4.157985
少数股东权益,,,,
股东应占盈利/(亏损),2.277773,6.619789,6.323999,4.157985
股息,,10.44,,
除税及股息后盈利/(亏损),2.277773,-3.820211,6.323999,4.157985
基本每股盈利(仙),0.210000,,,
摊薄每股盈利(仙),0.210000,--,--,--
每股股息(仙),--,--,--,--
销售成本,-32.719871,-29.53836,-30.803312,-28.350961
折旧,-0.869628,-0.641711,-1.733062,-1.931438
销售及分销费用,-0.031927,-0.052055,-0.050422,-0.283515
一般及行政费用,-7.127095,-7.894256,-7.550605,-8.419926
利息费用/融资成本,-0.002132,-0.017227,-0.031856,-0.05411
毛利,11.721271,15.512476,15.288042,16.744269
经营盈利,3.146884,7.581541,7.413349,4.827738
应占联营公司盈利,--,--,--,--
币种,新加坡元,新加坡元,新加坡元,新加坡元
