报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
营业额,995.958,383.942,937.45,388.437,867.997,1131.305
除税前盈利/(亏损),23.6,-19.037,73.267,23.212,61.631,127.341
税项,-6.585,1.5,-17.801,-5.087,-19.701,-30.192
除税后盈利/(亏损),17.015,-17.537,55.466,18.125,41.93,97.149
少数股东权益,-0.317,0.083,0.018,-0.055,-0.568,-0.125
股东应占盈利/(亏损),17.332,-17.62,55.448,18.18,42.498,97.274
股息,,,,,,
除税及股息后盈利/(亏损),17.332,-17.62,55.448,18.18,42.498,97.274
基本每股盈利(仙),1.990000,-2.350000,,2.420000,,
摊薄每股盈利(仙),1.990000,-2.350000,--,2.420000,--,--
每股股息(仙),--,--,--,--,--,--
销售成本,-688.151,-276.36,-590.088,-241.289,-543.573,-737.417
折旧,-18.212,-8.544,-18.174,-9.313,-17.63,-13.767
销售及分销费用,-172.014,-76.438,-148.647,-67.074,-156.063,-170.204
一般及行政费用,-100.4,-50.355,-112.227,-52.011,-103.9,-98.192
利息费用/融资成本,-1.559,-0.949,-2.05,-1.245,-3.098,-3.076
毛利,307.807,107.582,347.362,147.148,324.424,393.888
经营盈利,23.6,-19.037,73.267,23.212,61.631,127.341
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
