报告期,2017-12-31,2017-03-31,2016-12-31,2016-03-31,2015-03-31
报表类型,三季报,年报,三季报,年报,年报
营业额,86.637,103.424,77.498,82.106,48.598
除税前盈利/(亏损),13.425,13.255,13.334,21.051,8.614
税项,-2.582,-3.655,-2.957,-3.46,-1.33
除税后盈利/(亏损),10.843,9.6,10.377,17.591,7.284
少数股东权益,,,,,
股东应占盈利/(亏损),10.843,9.6,10.377,17.591,7.284
股息,,,,,
除税及股息后盈利/(亏损),10.843,9.6,10.377,17.591,7.284
基本每股盈利(仙),1.290000,,1.240000,,
摊薄每股盈利(仙),--,--,--,--,--
每股股息(仙),--,--,--,--,--
销售成本,-34.159,-40.222,-30.369,-32.463,-21.862
折旧,-2.118,-2.028,-1.398,-1.257,-1.107
销售及分销费用,-22.231,-23.651,-17.005,-18.492,-9.279
一般及行政费用,-14.674,-17.705,-12.462,-10.76,-8.844
利息费用/融资成本,-0.139,-0.024,--,--,--
毛利,52.478,63.202,47.129,49.643,26.736
经营盈利,13.425,13.255,13.334,21.051,8.614
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
