报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,482.389,463.309,400.598,129.809
除税前盈利/(亏损),102.982,82.432,65.385,19.468
税项,-13.595,-11.741,-7.811,-2.399
除税后盈利/(亏损),89.387,70.691,57.574,17.069
少数股东权益,3.174,6.882,11.811,4.528
股东应占盈利/(亏损),86.213,63.809,45.763,12.541
股息,,,,
除税及股息后盈利/(亏损),86.213,63.809,45.763,12.541
基本每股盈利(仙),15.000000,,,
摊薄每股盈利(仙),15.000000,--,--,--
每股股息(仙),--,--,--,--
销售成本,-382.459,-357.438,-319.444,-101.282
折旧,-0.276,-0.586,-0.518,-0.427
销售及分销费用,--,--,--,--
一般及行政费用,-25.398,-16.073,-11.001,-7.538
利息费用/融资成本,-5.735,-7.542,-5.31,-2.008
毛利,99.93,105.871,81.154,28.527
经营盈利,108.717,89.974,70.695,21.476
应占联营公司盈利,--,--,--,--
币种,澳门元,澳门元,澳门元,澳门元
