报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,28.620609,28.445686,28.00803,22.775694
除税前盈利/(亏损),3.982139,8.552146,6.480907,9.147103
税项,-2.255465,-1.612619,-1.930703,-2.081576
除税后盈利/(亏损),1.726674,6.939527,4.550204,7.065527
少数股东权益,,,0.076216,-0.436954
股东应占盈利/(亏损),1.726674,6.939527,4.473988,7.502481
股息,,,,
除税及股息后盈利/(亏损),1.726674,6.939527,4.473988,7.502481
基本每股盈利(仙),0.130000,0.690000,0.450000,0.750000
摊薄每股盈利(仙),0.130000,0.690000,0.450000,0.750000
每股股息(仙),--,--,--,--
销售成本,-12.694912,-12.910243,-10.03938,-2.784251
折旧,--,-0.168921,-0.132511,-0.047253
销售及分销费用,-3.424909,-3.267798,-6.705064,-6.816061
一般及行政费用,-7.536629,-3.368894,-4.183937,-2.376818
利息费用/融资成本,-0.039388,-0.056277,-0.000068,-0.001728
毛利,15.925697,15.535443,17.96865,19.991443
经营盈利,3.971503,8.642588,6.479157,9.146849
应占联营公司盈利,-0.047274,-0.036666,--,--
币种,美元,美元,美元,美元
