报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
营业额,1661.046,2318.317,1027.532,2502.92,2117.353,2703.899
除税前盈利/(亏损),103.284,127.756,49.731,241.32,80.315,68.206
税项,-17.231,-26.269,-7.47,-39.43,-11.63,-9.892
除税后盈利/(亏损),86.053,101.487,42.261,201.89,68.685,58.314
少数股东权益,,,,,,
股东应占盈利/(亏损),86.053,101.487,42.261,201.89,68.685,58.314
股息,,,,,,
除税及股息后盈利/(亏损),86.053,101.487,42.261,201.89,68.685,58.314
基本每股盈利(仙),4.300000,6.530000,2.820000,,,
摊薄每股盈利(仙),4.300000,6.530000,2.820000,--,--,--
每股股息(仙),--,--,--,--,--,--
销售成本,-1532.452,-2065.285,-917.73,-2204.176,-1997.722,-2599.673
折旧,-1.49,-2.84,-1.367,-1.791,-1.607,-1.799
销售及分销费用,--,--,--,--,--,--
一般及行政费用,-27.656,-108.232,-63.009,-58.078,-46.248,-45.308
利息费用/融资成本,-0.221,-0.235,-0.019,-2.535,-4.644,-2.279
毛利,128.594,253.032,109.802,298.744,119.631,104.226
经营盈利,103.284,127.756,49.731,241.32,80.315,68.206
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
