报告期,2017-12-31,2017-03-31,2016-12-31,2016-03-31
报表类型,三季报,年报,三季报,年报
营业额,81.22,79.951,56.164,72.898
除税前盈利/(亏损),-9.329,10.464,9.13,12.843
税项,-1.342,-2.131,-1.404,-2.138
除税后盈利/(亏损),-10.671,8.333,7.726,10.705
少数股东权益,,0.927,0.927,3.747
股东应占盈利/(亏损),-10.671,7.406,6.799,6.958
股息,,11,,
除税及股息后盈利/(亏损),-10.671,-3.594,6.799,6.958
基本每股盈利(仙),-1.780000,1.500000,1.480000,2.200000
摊薄每股盈利(仙),--,--,--,--
每股股息(仙),--,--,--,--
销售成本,-21.763,-19.542,-13.523,-18.293
折旧,-3.831,-2.988,-1.781,-1.512
销售及分销费用,--,--,--,--
一般及行政费用,--,--,--,--
利息费用/融资成本,-0.456,-0.206,-0.11,-0.149
毛利,59.457,60.409,42.641,54.605
经营盈利,-9.329,10.464,9.13,12.843
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
