报告期,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报
非流动资产,15.882,8.889,9.168
流动资产,291.315,333.45,287.3
流动负债,142.259,183.602,203.906
净流动资产/(负债),149.056,149.848,83.394
非流动负债,--,--,--
少数股东权益 - (借)/贷,,,
净资产/(负债),164.938,158.737,92.562
已发行股本,0.09,0.09,0.09
储备,164.848,158.647,92.472
股东权益/(亏损),164.938,158.737,92.562
无形资产(非流动资产),--,--,--
物业、厂房及设备(非流动资产),15.882,8.889,9.168
附属公司权益(非流动资产),--,--,--
联营公司权益 (非流动资产),,,
其他投资(非流动资产),,,
应收账款(流动资产),73.513,112.342,109.034
存货(流动资产),--,--,--
现金及银行结存(流动资产),107.367,138.741,102.654
应付帐款(流动负债),39.78,35.377,100.991
银行贷款(流动负债),--,--,--
非流动银行贷款,--,--,--
总资产,307.197,342.339,296.468
总负债,142.259,183.602,203.906
股份数目(香港),--,--,--
币种,澳门元,澳门元,澳门元
