报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,225.75,267.895,242.344
除税前盈利/(亏损),24.218,39.898,54.868
税项,-6.72,-8.524,-5.614
除税后盈利/(亏损),17.498,31.374,49.254
少数股东权益,,,
股东应占盈利/(亏损),17.498,31.374,49.254
股息,,,
除税及股息后盈利/(亏损),17.498,31.374,49.254
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-146.073,-180.106,-145.323
折旧,-6.07,-8.262,-8.676
销售及分销费用,-22.532,-17.397,-16.486
一般及行政费用,-27.424,-27.121,-26.849
利息费用/融资成本,-0.035,--,--
毛利,79.677,87.789,97.021
经营盈利,24.205,39.891,54.857
应占联营公司盈利,--,--,--
币种,港币,港币,港币
