报告期,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
报表类型,一季报,年报,三季报,一季报,年报,三季报,年报
营业额,14.892,38.617,30.563,12.918,31.179,20.209,24.409
除税前盈利/(亏损),14.282,13.895,9.383,8.253,20.716,15.239,17.909
税项,-2.734,-6.772,-3.127,-1.54,-4.523,-3.358,-3.578
除税后盈利/(亏损),11.548,7.123,6.256,6.713,16.193,11.881,14.331
少数股东权益,,,,,,,
股东应占盈利/(亏损),11.548,7.123,6.256,6.713,16.193,11.881,14.331
股息,,,,,,,
除税及股息后盈利/(亏损),11.548,7.123,6.256,6.713,16.193,11.881,14.331
基本每股盈利(仙),1.200000,0.900000,0.800000,0.900000,2.200000,1.600000,1.900000
摊薄每股盈利(仙),--,--,--,--,--,--,--
每股股息(仙),--,--,--,--,--,--,--
销售成本,-1.911,-7,-5.647,-2.252,-5.545,-3.386,-4.906
折旧,--,-0.402,--,--,-0.349,--,-0.35
销售及分销费用,-1.487,-4.641,-3.08,-1.011,-3.744,-2.701,-2.986
一般及行政费用,-1.19,-3.247,-3.056,-1.045,-2.749,-1.638,-2.55
利息费用/融资成本,--,--,--,--,-4.756,-3.896,-0.429
毛利,12.981,31.617,24.916,10.666,25.634,16.823,19.503
经营盈利,14.282,13.895,9.383,8.253,20.716,15.239,17.909
应占联营公司盈利,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
