报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,1726.256,1094.777,555.715
除税前盈利/(亏损),155.396,139.695,3.554
税项,-22.57,-20.962,-11.128
除税后盈利/(亏损),132.826,118.733,-7.574
少数股东权益,-5.413,-6.46,
股东应占盈利/(亏损),138.239,125.193,-7.574
股息,,,
除税及股息后盈利/(亏损),138.239,125.193,-7.574
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-1159.234,-630.681,-297.511
折旧,-117.174,-27.092,-15.504
销售及分销费用,-94.978,-81.92,-65.203
一般及行政费用,-215.853,-146.029,-118.025
利息费用/融资成本,-22.285,-15.167,-1.534
毛利,567.022,464.096,258.204
经营盈利,155.396,139.695,3.554
应占联营公司盈利,-7.129,-9.689,-0.045
币种,人民币,人民币,人民币
