报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31
报表类型,一季报,年报,一季报,年报,年报,年报
经营业务所得之现金流入净额,11.85,57.165,11.708,21.452,10.982,16.469
投资活动之现金流入净额,-2.265,-3.311,-2.215,-6.017,-3.202,-1.736
融资活动之现金流入净额,91.677,4.322,-1.289,0.073,-3.682,-11.568
现金及现金等价物增加,101.262,58.176,8.204,15.508,4.098,3.165
会计年初之现金及现金等价物,81.643,26.298,26.298,11.495,6.926,3.797
会计年终之现金及现金等价物,180.265,81.643,35.113,26.298,11.495,6.926
外汇兑换率变动之影响,-2.64,-2.831,0.611,-0.705,0.471,-0.036
购置固定资产款项,-2.287,-2.594,-1.208,-2.297,-1.968,-0.409
币种,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特
