报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,12.221,74.371,11.915,72.624,82.829
除税前盈利/(亏损),-4.672,-12.478,-2.36,0.623,6.531
税项,0.857,-0.712,0.121,-1.1,-1.853
除税后盈利/(亏损),-3.815,-13.19,-2.239,-0.477,4.678
少数股东权益,,,,,
股东应占盈利/(亏损),-3.815,-13.19,-2.239,-0.477,4.678
股息,,,,,
除税及股息后盈利/(亏损),-3.815,-13.19,-2.239,-0.477,4.678
基本每股盈利(仙),-0.480000,-2.160000,-0.370000,,
摊薄每股盈利(仙),-0.480000,-2.160000,-0.370000,--,--
每股股息(仙),--,--,--,--,--
销售成本,-9.533,-48.853,-8.265,-45.617,-56.558
折旧,-0.162,-0.307,-0.169,-1.064,-1.457
销售及分销费用,-1.557,-6.408,-1.095,-6.952,-7.668
一般及行政费用,-4.65,-9.831,-2.371,-7.752,-8.195
利息费用/融资成本,-0.245,-2.291,-0.6,-2.892,-3.238
毛利,2.688,25.518,3.65,27.007,26.271
经营盈利,-4.672,-12.478,-2.36,0.623,6.531
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
