报告期,2017-12-31,2017-03-31,2016-12-31,2016-03-31
报表类型,三季报,年报,三季报,年报
营业额,189.012,225.87,186.692,178.205
除税前盈利/(亏损),2.694,16.583,15.594,14.834
税项,-1.862,-3.065,-2.547,-2.444
除税后盈利/(亏损),0.832,13.518,13.047,12.39
少数股东权益,,,,
股东应占盈利/(亏损),0.832,13.518,13.047,12.39
股息,,,,
除税及股息后盈利/(亏损),0.832,13.518,13.047,12.39
基本每股盈利(仙),0.350000,6.060000,5.910000,5.610000
摊薄每股盈利(仙),--,--,--,--
每股股息(仙),--,--,--,--
销售成本,-169.77,-199.268,-165.211,-156.71
折旧,-0.292,-0.364,-0.258,-0.222
销售及分销费用,--,--,--,--
一般及行政费用,-7.076,-7.492,-5.837,-6.156
利息费用/融资成本,-0.283,-0.819,-0.645,-1.087
毛利,19.242,26.602,21.481,21.495
经营盈利,2.694,16.583,15.594,14.834
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
