报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2016-03-31
报表类型,年报,三季报,年报,三季报,年报
营业额,246.194,164.618,89.977,50.975,40.298
除税前盈利/(亏损),13.434,10.427,12.396,9.668,7.525
税项,-4.657,-3.051,-2.652,-1.352,-2.199
除税后盈利/(亏损),8.777,7.376,9.744,8.316,5.326
少数股东权益,,,,,
股东应占盈利/(亏损),8.777,7.376,9.744,8.316,5.326
股息,,,,,
除税及股息后盈利/(亏损),8.777,7.376,9.744,8.316,5.326
基本每股盈利(仙),3.190000,2.920000,4.100000,3.500000,2.240000
摊薄每股盈利(仙),3.190000,2.920000,4.100000,3.500000,--
每股股息(仙),--,--,--,--,--
销售成本,-210.915,-139.313,-66.332,-36.655,-28.149
折旧,-3.473,-2.081,-2.62,-1.623,-1.598
销售及分销费用,--,--,--,--,--
一般及行政费用,-9.191,-5.45,-5.654,-4.007,-4.338
利息费用/融资成本,-3.165,-2.479,-1.317,-0.676,-0.395
毛利,35.279,25.305,23.645,14.32,12.149
经营盈利,13.434,10.427,12.396,9.668,7.525
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
