报告期,2017-09-30,2017-03-31,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,年报,年报,年报
非流动资产,17.056,18.314,25.137,24.197,18.2
流动资产,283.512,228.834,146.435,125.933,75.81
流动负债,148.808,195.501,111.217,108.291,75.7
净流动资产/(负债),134.704,33.333,35.218,17.642,0.11
非流动负债,1.904,2.028,2.124,1.576,0.574
少数股东权益 - (借)/贷,,,,,
净资产/(负债),149.856,49.619,58.231,40.263,17.736
已发行股本,80,0.001,4.79,4.79,4.36
储备,57.065,49.618,53.441,35.473,13.376
股东权益/(亏损),149.856,49.619,58.231,40.263,17.736
无形资产(非流动资产),--,--,--,--,--
物业、厂房及设备(非流动资产),15.173,16.319,14.075,13.041,10.393
附属公司权益(非流动资产),--,--,--,--,--
联营公司权益 (非流动资产),,,,,
其他投资(非流动资产),,,,,
应收账款(流动资产),66.846,55.95,34.943,37.533,27.204
存货(流动资产),--,--,--,--,--
现金及银行结存(流动资产),33.311,11.988,11.544,5.966,6.853
应付帐款(流动负债),53.704,75.092,53.195,41.329,28.188
银行贷款(流动负债),51.675,60.82,35.531,30.217,19.531
非流动银行贷款,--,--,--,--,--
总资产,300.568,247.148,171.572,150.13,94.01
总负债,150.712,197.529,113.341,109.867,76.274
股份数目(香港),800000000股,--,--,--,--
币种,港币,港币,港币,港币,港币
