报告期,2017-10-31,2016-10-31,2015-10-31
报表类型,年报,年报,年报
营业额,201.075,191.327,214.16
除税前盈利/(亏损),33.721,29.702,20.749
税项,-6.397,-4.723,-3.229
除税后盈利/(亏损),27.324,24.979,17.52
少数股东权益,,,
股东应占盈利/(亏损),27.324,24.979,17.52
股息,20,,
除税及股息后盈利/(亏损),7.324,24.979,17.52
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-161.277,-159.565,-188.108
折旧,-0.838,-0.538,-0.566
销售及分销费用,--,--,--
一般及行政费用,-7.39,-3.293,-6.048
利息费用/融资成本,-0.007,-0.007,-0.007
毛利,39.798,31.762,26.052
经营盈利,33.508,29.209,20.594
应占联营公司盈利,--,--,--
币种,新加坡元,新加坡元,新加坡元
