报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,75.618,269.992,58.298,217.793,161.75
除税前盈利/(亏损),-9.9,-9.049,-3.93,1.76,0.016
税项,-0.019,-1.724,-0.131,-1.21,0.015
除税后盈利/(亏损),-9.919,-10.773,-4.061,0.55,0.031
少数股东权益,-2.907,0.321,-0.193,0.191,-0.612
股东应占盈利/(亏损),-7.012,-11.094,-3.868,0.359,0.643
股息,,,,,
除税及股息后盈利/(亏损),-7.012,-11.094,-3.868,0.359,0.643
基本每股盈利(仙),-2.190000,-4.510000,-1.610000,,
摊薄每股盈利(仙),-2.190000,-4.510000,-1.610000,--,--
每股股息(仙),--,--,--,--,--
销售成本,-19.707,-71.665,-15.638,-58.845,-46.038
折旧,-18.37,-56.826,-11.725,-43.737,-32.106
销售及分销费用,--,--,--,--,--
一般及行政费用,--,--,--,--,--
利息费用/融资成本,-1.705,-4.815,-0.957,-3.443,-2.742
毛利,55.911,198.327,42.66,158.948,115.712
经营盈利,-8.196,-4.252,-2.969,5.708,2.873
应占联营公司盈利,-0.004,-0.008,-0.004,-0.509,-0.12
币种,港币,港币,港币,港币,港币
