报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
营业额,478.996,1124.374,549.587,1075.491,1064.152,1082.087
除税前盈利/(亏损),18.593,28.088,13.647,38.258,41.252,42
税项,-3.273,-8.128,-3.439,-7.055,-7.279,-7.027
除税后盈利/(亏损),15.32,19.96,10.208,31.203,33.973,34.973
少数股东权益,,,,6.342,6.439,5.672
股东应占盈利/(亏损),15.32,19.96,10.208,24.861,27.534,29.301
股息,,,,84,48,36
除税及股息后盈利/(亏损),15.32,19.96,10.208,-59.139,-20.466,-6.699
基本每股盈利(仙),5.000000,8.000000,4.000000,13.000000,14.000000,15.000000
摊薄每股盈利(仙),--,--,--,--,--,--
每股股息(仙),--,6.000000,--,--,--,--
销售成本,-419.979,-996.536,-484.787,-949.995,-940.194,-962.447
折旧,-0.385,-0.881,-0.479,-1.263,-2.083,-2.46
销售及分销费用,-27.249,-59.602,-30.354,-62.565,-61.382,-57.166
一般及行政费用,-13.018,-23.061,-11.699,-22.735,-22.2,-22.533
利息费用/融资成本,--,--,--,--,--,-0.036
毛利,59.017,127.838,64.8,125.496,123.958,119.64
经营盈利,18.593,28.088,13.647,38.258,41.252,42
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
