报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,20904,16851,17576,17437
除税前盈利/(亏损),22160,12079,16271,37149
税项,-4267,-1895,-1968,-1684
除税后盈利/(亏损),17893,10184,14303,35465
少数股东权益,675,267,516,338
股东应占盈利/(亏损),17218,9917,13787,35127
股息,2884,,,
除税及股息后盈利/(亏损),14334,9917,13787,35127
基本每股盈利(仙),567.000000,,,
摊薄每股盈利(仙),567.000000,--,--,--
每股股息(仙),95.000000,--,--,--
销售成本,-4494,-4247,-4965,-6034
折旧,-136,-168,-181,-175
销售及分销费用,-361,-311,-371,-318
一般及行政费用,-463,-293,-292,-487
利息费用/融资成本,-1029,-1351,-1302,-1264
毛利,16410,12604,12611,11403
经营盈利,15442,11824,11759,10416
应占联营公司盈利,82,23,133,-4
币种,港币,港币,港币,港币
