报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,81.599,73.697,71.188
除税前盈利/(亏损),38.761,29.314,21.722
税项,-12.353,-10.64,-8.616
除税后盈利/(亏损),26.408,18.674,13.106
少数股东权益,7.164,6.282,5.625
股东应占盈利/(亏损),19.244,12.392,7.481
股息,,,
除税及股息后盈利/(亏损),19.244,12.392,7.481
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-30.669,-28.95,-29.497
折旧,-7.87,-7.563,-8.049
销售及分销费用,-16.295,-18.492,-20.579
一般及行政费用,--,--,--
利息费用/融资成本,--,--,--
毛利,50.93,44.747,41.691
经营盈利,38.761,29.314,21.722
应占联营公司盈利,--,--,--
币种,人民币,人民币,人民币
