报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,3121.852,2358.449,1672.464
除税前盈利/(亏损),608.197,486.332,294.913
税项,-167.734,-133.804,-74.46
除税后盈利/(亏损),440.463,352.528,220.453
少数股东权益,38.72,28.347,
股东应占盈利/(亏损),401.743,324.181,220.453
股息,,,
除税及股息后盈利/(亏损),401.743,324.181,220.453
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-2086.266,-1558.235,-1161.227
折旧,-17.504,-13.599,-13.149
销售及分销费用,-9.351,--,--
一般及行政费用,-459.443,-332.871,-226.07
利息费用/融资成本,-0.19,--,--
毛利,1035.586,800.214,511.237
经营盈利,581.131,477.319,293.292
应占联营公司盈利,-8.92,-5.153,-0.001
币种,人民币,人民币,人民币
