报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,954.61,849.72,838.152
除税前盈利/(亏损),64.173,81.641,59.43
税项,-15.799,-17.401,-12.843
除税后盈利/(亏损),48.374,65.703,39.456
少数股东权益,2.279,0.757,-1.791
股东应占盈利/(亏损),46.095,64.946,41.247
股息,122.945,10.311,32.968
除税及股息后盈利/(亏损),-76.85,54.635,8.279
基本每股盈利(仙),7.460000,10.520000,6.680000
摊薄每股盈利(仙),7.460000,10.520000,6.680000
每股股息(仙),50.000000,4.000000,13.000000
销售成本,-664.996,-575.626,-591.748
折旧,-22.426,-25.176,-24.711
销售及分销费用,-112.245,-108.89,-97.48
一般及行政费用,-109.743,-86.774,-89.896
利息费用/融资成本,-4.126,-4.006,-4.875
毛利,289.614,274.094,246.404
经营盈利,64.173,81.641,59.43
应占联营公司盈利,--,--,--
币种,港币,港币,港币
