报告期,2018-01-31,2017-10-31,2017-04-30,2017-01-31,2016-10-31,2016-04-30,2015-04-30
报表类型,三季报,中报,年报,三季报,中报,年报,年报
营业额,117.367,77.43,141.667,94.381,70.289,120.988,138.636
除税前盈利/(亏损),10.239,13.32,21.222,10.761,8.194,15.034,12.366
税项,-2.715,-2.715,-5.161,-2.801,-2.281,-3.065,-3.753
除税后盈利/(亏损),7.524,10.605,16.061,7.96,5.913,11.969,8.613
少数股东权益,,,,,,,
股东应占盈利/(亏损),7.524,10.605,16.061,7.96,5.913,11.969,8.613
股息,,,,,,,
除税及股息后盈利/(亏损),7.524,10.605,16.061,7.96,5.913,11.969,8.613
基本每股盈利(仙),2.120000,3.540000,5.350000,2.650000,1.970000,4.000000,2.870000
摊薄每股盈利(仙),2.120000,3.540000,5.350000,2.650000,1.970000,4.000000,2.870000
每股股息(仙),--,--,--,--,--,--,--
销售成本,-83.557,-54.603,-99.272,-65.326,-48.483,-83.416,-102.468
折旧,-1.79,-0.868,-2.336,-1.805,-1.222,-2.244,-1.904
销售及分销费用,-2.648,-1.798,-4.257,-3.479,-2.771,-3.874,-5.122
一般及行政费用,-19.826,-6.975,-14.675,-12.999,-9.802,-14.8,-14.059
利息费用/融资成本,-1.442,-0.915,-2.374,-1.928,-1.109,-4.004,-5.002
毛利,33.81,22.827,42.395,29.055,21.806,37.572,36.168
经营盈利,10.239,13.32,21.222,10.761,8.194,15.034,12.366
应占联营公司盈利,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币
