报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,97,88.304,89.768
除税前盈利/(亏损),1.644,14.727,14.674
税项,-2.428,-3.737,-4.185
除税后盈利/(亏损),-0.784,10.99,10.489
少数股东权益,,,
股东应占盈利/(亏损),-0.784,10.99,10.489
股息,,,
除税及股息后盈利/(亏损),-0.784,10.99,10.489
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-72.697,-65.991,-69.22
折旧,-0.827,-0.6,-0.083
销售及分销费用,-3.251,-1.182,-1.117
一般及行政费用,-19.24,-6.399,-4.516
利息费用/融资成本,-0.114,-0.237,-0.262
毛利,24.303,22.313,20.548
经营盈利,1.737,14.938,14.915
应占联营公司盈利,--,--,--
币种,人民币,人民币,人民币
