报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,198.507,179.292,186.743
除税前盈利/(亏损),17.982,32.781,30.181
税项,-5.534,-6.194,-5.765
除税后盈利/(亏损),12.448,26.587,24.416
少数股东权益,0.017,0.302,0.669
股东应占盈利/(亏损),12.431,26.285,23.747
股息,,,
除税及股息后盈利/(亏损),12.431,26.285,23.747
基本每股盈利(仙),0.870000,1.850000,1.700000
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-141.599,-124.112,-136.497
折旧,-1.79,-1.96,-2.03
销售及分销费用,-7.561,-6.188,-6.355
一般及行政费用,-31.648,-16.557,-14.82
利息费用/融资成本,-0.274,-0.353,-0.499
毛利,56.908,55.18,50.246
经营盈利,17.982,32.781,30.181
应占联营公司盈利,--,--,--
币种,港币,港币,港币
