科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2010年度,2011年1-3月,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年度,2013年度
一、营业收入,"657,299.02","889,673.71","1,779,118.91","1,705,442.68","1,503,410.98",,,,,,,
二、营业利润,"-1,290,086.13","-2,621,431.25","-13,594,880.94","-1,709,828.20","-6,888,282.05",,"-333,555.40","-27,606,869.91",,"-277,831.10","-3,222,765.43","385,987.05"
减:营业成本,"202,118.14","85,042.44","443,492.05","1,648,565.24","129,161.36",,,,,,,
加:补贴收入,,,,,,,,,,,,
营业税金及附加,"32,624.40","42,578.84","79,054.17","93,456.45","71,518.99",,,,,,,
营业外收入,,,"497,994.52",,"7,800.22",,,,,,,
销售费用,,,,"23,909.33",,,,,,,,
减:营业外支出,,,"556,416.25",,"24,882.00",,,,,,,
管理费用,"812,252.01","1,582,948.58","2,912,300.76","712,349.06","2,885,375.03",,"333,555.40","1,009,363.87",,"277,831.10","822,765.43","813,952.95"
其中:非流动资产处置净损失,,,,,,,,,,,,
堪探费用,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,
财务费用,"900,390.60","1,800,535.10","3,324,705.29","936,990.80","3,427,164.10",,,"2,400,000.00",,,"2,400,000.00","800,060.00"
三、利润总额,"-1,290,086.13","-2,621,431.25","-13,653,302.67","-1,709,828.20","-6,905,363.83",,"-333,555.40","-27,606,869.91",,"-277,831.10","-3,222,765.43","385,987.05"
资产减值损失,,,"8,614,447.58",,"1,878,473.55",,,"24,197,506.04",,,,
减:所得税,"2,763.13","5,300.53","10,744.75",,,,,,,,,
加:公允价值变动净收益,,,,,,,,,,,,
加:影响净利润的其他科目,"546,631.33","1,134,295.92",,,,,,,,,,
投资收益,,,,,,,,,,,,"2,000,000.00"
四、净利润,"-746,217.93","-1,492,435.86","-13,664,047.42","-1,709,828.20","-6,905,363.83",,"-333,555.40","-27,606,869.91",,"-277,831.10","-3,222,765.43","385,987.05"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,
归属于母公司所有者的净利润,"-746,217.93","-1,492,435.86","-13,664,047.42","-1,709,828.20","-6,905,363.83",,"-333,555.40","-27,606,869.91",,"-277,831.10","-3,222,765.43","385,987.05"
影响营业利润的其他科目,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,
