科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"128,058,878.98","141,397,036.64","223,897,003.70","58,369,857.92","158,143,829.74","218,010,551.09"
取得子公司及其他营业单位支付的现金净额,,,,,,
收到的税费返还,"6,884,938.98","6,160,706.51","8,715,036.04","1,569,476.01","3,642,978.16","7,496,526.44"
支付其他与投资活动有关的现金,,"5,000,000.00",,,,
收到其他与经营活动有关的现金,"4,176,239.62","10,740,718.44","9,896,250.99","5,172,737.33","9,973,105.00","23,719,695.77"
投资活动现金流出小计,"34,315,810.99","24,778,539.31","5,832,360.59","2,000,641.66","22,549,282.66","36,890,687.28"
经营活动现金流入小计,"139,120,057.58","158,298,461.59","242,508,290.73","65,112,071.26","171,759,912.90","249,226,773.30"
投资活动产生的现金流量净额,"-34,305,554.58","-22,764,864.10","130,039.41","-2,000,641.66","-17,549,282.66","-31,890,687.28"
购买商品、接受劳务支付的现金,"49,024,858.76","89,034,139.14","142,929,743.60","56,155,331.98","104,525,027.91","163,043,526.63"
吸收投资收到的现金,,,,"171,634,355.72","171,634,355.72","171,634,355.72"
支付给职工以及为职工支付的现金,"25,261,475.24","32,798,374.07","41,618,871.27","9,578,108.07","21,086,692.83","36,588,411.43"
取得借款收到的现金,"68,350,000.00","132,016,000.00","132,644,400.00","7,500,000.00","99,470,400.00","130,281,400.00"
支付的各项税费,"21,364,357.20","20,514,235.07","27,716,903.80","6,077,814.85","16,374,634.10","34,260,365.86"
收到其他与筹资活动有关的现金,,"25,944,000.00","20,616,977.51","10,495,723.00","14,072,044.28","14,298,025.34"
支付其他与经营活动有关的现金,"18,428,058.61","20,251,477.34","21,160,573.68","13,306,533.50","24,444,230.74","34,141,695.73"
筹资活动现金流入小计,"68,350,000.00","157,960,000.00","153,261,377.51","189,630,078.72","285,176,800.00","316,213,781.06"
经营活动现金流出小计,"114,078,749.81","162,598,225.62","233,426,092.35","85,117,788.40","166,430,585.58","268,033,999.65"
偿还债务支付的现金,"42,800,000.00","104,250,000.00","125,260,400.00","3,500,000.00","64,500,000.00","71,748,400.00"
经营活动产生的现金流量净额,"25,041,307.77","-4,299,764.03","9,082,198.38","-20,005,717.14","5,329,327.32","-18,807,226.35"
分配股利、利润或偿还利息支付的现金,"10,003,118.31","10,929,599.37","10,815,483.07","2,608,103.10","6,421,751.07","14,219,537.59"
收回投资收到的现金,,,,,,
支付其他与筹资活动有关的现金,"10,500,000.00","25,327,678.00","32,414,688.62","1,036,396.64","21,641,379.14","33,781,623.77"
取得投资收益收到的现金,,,,,,
筹资活动现金流出小计,"63,303,118.31","140,507,277.37","168,490,571.69","7,144,499.74","92,563,130.21","119,749,561.36"
处置固定资产、无形资产和其他长期资产收回的现金净额,"10,256.41","13,675.21",,,,
筹资活动产生的现金流量净额,"5,046,881.69","17,452,722.63","-15,229,194.18","182,485,578.98","192,613,669.79","196,464,219.70"
处置子公司及其他营业单位收到的现金净额,,,,,,
四、汇率变动对现金的影响,,5.96,9.18,,,
收到其他与投资活动有关的现金,,"2,000,000.00","5,962,400.00",,"5,000,000.00","5,000,000.00"
四(2)、其他原因对现金的影响,,,,,,
投资活动现金流入小计,"10,256.41","2,013,675.21","5,962,400.00",,"5,000,000.00","5,000,000.00"
五、现金及现金等价物净增加额,"-4,217,365.12","-9,611,899.54","-6,016,947.21","160,479,220.18","180,393,714.45","145,766,306.07"
购建固定资产、无形资产和其他长期资产支付的现金,"34,315,810.99","19,778,539.31","5,832,360.59","2,000,641.66","22,549,282.66","33,890,687.28"
期初现金及现金等价物余额,"39,039,365.45","34,822,000.33","25,210,100.79","19,193,153.58","19,193,153.58","19,870,514.31"
投资支付的现金,,,,,,"3,000,000.00"
期末现金及现金等价物余额,"34,822,000.33","25,210,100.79","19,193,153.58","179,672,373.76","199,586,868.03","165,636,820.38"
